Survived,Pclass,Fare,Gender,AgeFill,EmbarkedNum,FamilySize,Age*Class,Gender*Age*Class
0,3,7.25,1,22.0,1,1,66.0,0.0
1,1,71.2833,0,38.0,0,1,38.0,0.454054054054
1,3,7.925,0,26.0,1,0,78.0,0.946927374302
1,1,53.1,0,35.0,1,1,35.0,0.454054054054
0,3,8.05,1,35.0,1,0,105.0,0.0
0,3,8.4583,1,25.0,2,0,75.0,0.0
0,1,51.8625,1,54.0,1,0,54.0,0.0
0,3,21.075,1,2.0,1,4,6.0,0.0
1,3,11.1333,0,27.0,1,2,81.0,0.946927374302
1,2,30.0708,0,14.0,0,1,28.0,0.803921568627
1,3,16.7,0,4.0,1,2,12.0,1.83870967742
1,1,26.55,0,58.0,1,0,58.0,0.416666666667
0,3,8.05,1,20.0,1,0,60.0,0.0
0,3,31.275,1,39.0,1,6,117.0,0.0
0,3,7.8542,0,14.0,1,0,42.0,1.20588235294
1,2,16.0,0,55.0,1,0,110.0,0.833333333333
0,3,29.125,1,2.0,2,5,6.0,0.0
1,2,13.0,1,30.0,1,0,60.0,0.0
0,3,18.0,0,31.0,1,1,93.0,1.36216216216
1,3,7.225,0,21.5,0,0,64.5,0.946927374302
0,2,26.0,1,35.0,1,0,70.0,0.0
1,2,13.0,1,34.0,1,0,68.0,0.0
1,3,8.0292,0,15.0,2,0,45.0,1.20588235294
1,1,35.5,1,28.0,1,0,28.0,0.0
0,3,21.075,0,8.0,1,4,24.0,1.83870967742
1,3,31.3875,0,38.0,1,6,114.0,1.36216216216
0,3,7.225,1,25.0,0,0,75.0,0.0
0,1,263.0,1,19.0,1,5,19.0,0.0
1,3,7.8792,0,21.5,2,0,64.5,0.946927374302
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,1,27.7208,1,40.0,0,0,40.0,0.0
1,1,146.5208,0,35.0,0,1,35.0,0.454054054054
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
0,2,10.5,1,66.0,1,0,132.0,0.0
0,1,82.1708,1,28.0,0,1,28.0,0.0
0,1,52.0,1,42.0,1,1,42.0,0.0
